year,national_gdp
2011,968375.0
2012,1062404.0637172875
2013,1156509.0395031953
2014,1301761.7766254954
2015,1436171.0441892077
2016,1586657.5998984417
2017,1840118.8624815769
2018,2045552.4164204951
2019,2211933.0885373456
2020,2305547.450311251
2021,2472152.7246411773
2022,2757628.1565690013
2023,3104297.7974379277
2024,3303118.904427187
2025,1642480.909786486
2026,45.687993363066084
2027,43.634646307381445
2028,41.406166469028705
2029,41.784857982059776
2030,40.912369205647636
2031,42.82993513482696
2032,43.26649669560575
2033,43.08213500437628
2034,46.51532391106503
2035,42.69690567690433
2036,40.30771577798542
2037,41.76353883518321
2038,40.59761196944031
2039,39.064481769510216
